name_in_vcf,sex_binary,fat.score,aims_ancestry,aims_heterozygosity,norm_tarsus.length,norm_weight,norm_tail.length,norm_wing.cord,norm_kipps,norm_distal,norm_carpal,norm_p7,norm_p8,norm_p9,norm_p10,norm_releaseDay,norm_fall_detectDay1,norm_fall_bearing1,norm_bodyCondition,t5_spring40
AH17K18,1,3,0.1364280652,0.1863926293,0.5286526733,2.490987685,0.9062947299,1.122838064,-0.1750343643,NA,NA,NA,NA,0.7063025628,NA,-2.865260239,NA,NA,2.299805752,0
AH18K02,1,1,0.4220824598,0.6205450734,0.3677224905,1.666864248,0.01839348775,1.575839653,1.591136111,NA,NA,NA,NA,1.904522991,NA,-2.638257273,-1.640676655,-0.2184361047,1.591095955,0
AH22K02,1,0,0.5090152566,0.7073509015,-0.5500596209,-1.541717528,-1.136457365,-0.3089991469,0.1536385531,NA,NA,NA,NA,-1.138919235,NA,-2.210314639,0,0.7755066359,-1.142565867,0
AH22K04_S154_L001,1,2,0.2891566265,0.4479092842,-0.07940705063,0.9631814439,-0.3765622424,1.122838064,0.4706443419,NA,NA,NA,NA,-0.7757531741,NA,-2.210314639,NA,NA,1.003850573,0
AH22K09,1,0,0.3830897704,0.1704940849,1.580798793,-0.5979192077,-0.7265441681,0.1209057467,-0.1296515641,NA,NA,NA,NA,-0.7757531741,NA,-2.210314639,0.3732885228,1.400434365,-1.694718917,0
AH22K11_S155_L001,1,0,0.5535585909,0.2904385334,0.1727229565,-0.4336487551,NA,0.1209057467,0.7545378681,NA,NA,NA,NA,-0.02638862313,NA,-2.210314639,NA,NA,-0.6345053553,0
AH22K12,1,0,0.2728561304,0.4365698086,0.0105766878,0.4103780268,1.296020119,0.7804153365,2.558042727,NA,NA,NA,NA,-0.02638862313,NA,-2.210314639,-1.994389454,-1.049499844,0.3858998855,NA
AH22K13,1,1,0.3170212766,0.4666666667,-1.15807007,-0.9055379449,0.4626631023,1.122838064,0.4095920044,NA,NA,NA,NA,1.104275415,NA,-2.210314639,-1.244660737,0.7755066359,-0.1403138559,0
AH22K14_S156_L001,1,NA,0.8557353976,0.2547501759,-0.8251565806,0.04525183053,0.9062947299,0.7804153365,-0.1296515641,NA,NA,NA,NA,1.53733814,NA,-2.210314639,NA,NA,0.6510387715,0
AH22K15,0,1,0.384696756,0.4647390691,0.1727229565,-0.4336487551,-0.7265441681,-0.3089991469,-0.7793229927,NA,NA,NA,NA,-0.7757531741,NA,-2.210314639,NA,NA,-0.6345053553,0
AH24H02,1,0,0.8339088398,0.307320442,-0.4599256056,-1.09901343,0.01839348775,-2.732993839,-2.493990881,NA,NA,NA,NA,-1.660359735,NA,-1.942444328,-2.760930798,0.1194748862,-0.7615109663,0
AH24H03,1,0,0.3484528833,0.3832630098,-0.4599256056,-0.5979192077,-1.136457365,-0.3089991469,-0.9073712145,NA,NA,NA,NA,2.206222551,NA,-1.942444328,NA,NA,-0.2890642785,0
AH24H04,1,0,0.2650389243,0.4083510262,0.4482005874,-1.784700075,0.4626631023,0.1209057467,0.7545378681,NA,NA,NA,NA,-1.138919235,NA,-1.942444328,-1.244660737,0.1194748862,-2.116118106,0
AH24H05,1,0,0.2975352113,0.4809859155,0.9974102855,-0.2859101736,-0.7265441681,-0.876509456,0.5274304007,NA,NA,NA,NA,-2.012089282,NA,-1.942444328,-2.113217775,0.1194748862,-1.035513458,0
AH25H01,1,0,0.1316901408,0.1788732394,0.5286526733,-0.4336487551,-1.136457365,0.1209057467,0.1536385531,NA,NA,NA,NA,0.3584587933,NA,-1.587055832,NA,NA,-0.9143841612,0
AH25H02,1,0,0.2403778866,0.2820153954,1.725773408,0.4571567446,0.01839348775,0.5028599207,0.7545378681,NA,NA,NA,NA,-0.4153376586,NA,-1.587055832,0.6497555365,-0.7902276813,-0.7330641352,0
AH25H03,0,NA,0.3854883081,0.378954608,-1.702788825,-1.900825745,-1.641812196,-2.441056795,-1.660359735,NA,NA,NA,NA,-2.390136645,NA,-1.587055832,NA,NA,-0.7051985311,0
AH26H01_S157_L001,1,0,0.2589285714,0.4300595238,-1.887659104,-0.7446628152,-0.7265441681,-0.3089991469,1.888585672,NA,NA,NA,NA,-0.7757531741,NA,-1.293514034,NA,NA,0.8053792564,0
AH26H02,1,0,0.2145922747,0.2775393419,-1.447777366,-0.6761610031,-0.3765622424,1.122838064,0.830394473,NA,NA,NA,NA,0.3584587933,NA,-1.293514034,0.3732885228,0.1194748862,0.4150414115,0
