name_in_vcf,sex_binary,aims_heterozygosity,aims_ancestry,fat.score,norm_fall_releaseDay,norm_fall_detectDay_1,norm_fall_bearing_1,norm_fall_bearing_2,norm_Lon_Lat35,norm_winter_longitude,norm_winter_latitude,norm_tarsus.length,norm_tail.length,norm_wing.cord,norm_kipps,norm_distal,norm_carpal,norm_p7,norm_p8,norm_p9,norm_p10,norm_weight,norm_bodyCondition,t5_spring40
AH22K04_S154_L001,1,0.4479092842,0.2891566265,2,-2.313600337,NA,NA,NA,NA,NA,NA,-0.02625043097,-0.2991725896,1.096080658,0.4444150189,NA,NA,NA,NA,-0.6883081647,NA,2.490987685,2.299805752,0
AH22K11_S155_L001,1,0.2904385334,0.5535585909,0,-2.313600337,NA,NA,NA,NA,NA,NA,0.2339694111,NA,0.06980630836,0.74075149,NA,NA,NA,NA,0.05041684914,NA,1.666864248,1.591095955,0
AH22K14_S156_L001,1,0.2547501759,0.8557353976,NA,-2.313600337,NA,NA,NA,NA,NA,NA,-0.7933495917,0.9275162926,0.7431492841,-0.1475955129,NA,NA,NA,NA,1.574444965,NA,-1.541717528,-1.142565867,0
AH26H01_S157_L001,1,0.4300595238,0.2589285714,0,-1.342881509,NA,NA,NA,NA,NA,NA,-1.860412234,-0.652719262,-0.3330050982,1.924509764,NA,NA,NA,NA,-0.6883081647,NA,0.9631814439,1.003850573,0
AH26H03_S158_L001,1,0.3900245298,0.2726901063,0,-1.342881509,NA,NA,NA,NA,NA,NA,NA,-1.09897951,-1.276612376,-1.413127585,NA,NA,NA,NA,0.4243251892,NA,-0.5979192077,-1.694718917,0
AH26H05_S159_L001,1,0.06548933039,0.03715967623,0,-1.342881509,NA,NA,NA,NA,NA,NA,-0.4139877591,-0.2991725896,1.54033687,-0.9581175185,NA,NA,NA,NA,1.154606147,NA,-0.4336487551,-0.6345053553,0
AH26H07_S160_L001,1,0.08561403509,0.06666666667,0,-1.342881509,NA,NA,NA,NA,NA,NA,-0.4139877591,-1.631487684,-1.276612376,-0.7640564133,NA,NA,NA,NA,0.05041684914,NA,-0.9055379449,-0.1403138559,0
AH26H12_S161_L001,0,0.06997282609,0.956861413,0,-1.342881509,NA,NA,NA,NA,NA,NA,0.4307272993,1.674274544,-0.9354329602,-0.5487349019,NA,NA,NA,NA,-0.318639364,NA,0.04525183053,0.6510387715,0
BH31H02_S173_L001,1,0.5781359495,0.6548703574,0,0.487559245,NA,NA,NA,NA,NA,NA,1.336148095,0.5129104871,0.06980630836,0.3893425461,-0.6458777483,0.3861008703,0.3937167819,-0.1757186007,1.154606147,0.449452973,-0.4336487551,-0.6345053553,0
BH31H06_S174_L001,0,0.4653323803,0.4792709078,0,0.487559245,NA,NA,NA,NA,NA,NA,-0.6086485492,0.5129104871,0.06980630836,-0.7640564133,-0.168626147,-0.2451266333,-0.8757677292,-0.6051725125,-1.050025707,-0.9876165637,-1.09901343,-0.7615109663,0
