"Store_name","Address","STATEFP","COUNTYFP","TRACTCE","GEOID","GEOIDFQ","NAME.x","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","NAME.y","Population","Education_Level","Median_Income","moe_Population","moe_Education_Level","MOE_Income","Area_km2","Population_Density","geometry"
"ATTITUDE DANCE BOUTIQUE","404 University Dr E, Suite G, College Station, Texas 77840","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3205, 30.6285)
"BEA'S ALTERATIONS","1100 Harvey Rd, Suite C, College Station, Texas 77840","48","041","001704","48041001704","1400000US48041001704","17.04","Census Tract 17.04","G5020","S",1427583,0,30.6209549,-96.302884,"Census Tract 17.04; Brazos County; Texas",2037,318,32962,414,162,5705,1.42901688122161,1425.45551894296,c(-96.302, 30.617)
"BRAZOS BRIM HAT BAR","850 William D Fitch Pkwy, Ste 800College Station, Texas 77845","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3147, 30.6015)
"GRASS STAINS","155 Century Ct. Suite 110, College Station, Texas 77840","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.339, 30.6215)
"HULLABALOO AVE","312 George Bush Dr, College Station, Texas 77840","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.3412, 30.6123)
"MAROON U","112 Holleman Drive, College Station, Texas 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3108, 30.6072)
"Catherine's Plus Sizes","1505 University Dr E, College Station, TX 77840","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.32, 30.628)
"MSC Bookstore @ TAMU","275 Joe Routt Blvd, College Station, TX 77843","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.3415, 30.6125)
"SAM'S CLUB","1405 Earl Rudder Fwy, College Station, TX 77845","48","041","002022","48041002022","1400000US48041002022","20.22","Census Tract 20.22","G5020","S",6368441,0,30.6583966,-96.311627,"Census Tract 20.22; Brazos County; Texas",5351,1169,78056,467,344,10555,6.37478941605944,839.400276740076,c(-96.3028, 30.6502)
"The Warehouse @ C.C. Creations","114 Holleman Dr, College Station, TX 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3105, 30.6075)
"Best Buy","805 Texas Avenue South, College Station, TX, 77840","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3297423, 30.6259399)
"MSC Forsyth Galleries","","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.3414637, 30.6120721)
"J Wayne Stark University Center Galleries","","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.340921, 30.612736)
"Rattler's","","48","041","002023","48041002023","1400000US48041002023","20.23","Census Tract 20.23","G5020","S",552593,0,30.5897361,-96.3425104,"Census Tract 20.23; Brazos County; Texas",2924,181,28014,776,125,4639,0.553150810270229,5286.08102114421,c(-96.3387375, 30.5875335)
"Shop N Go","","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3204982, 30.6201522)
"Grateful Dog Self-Serve Dog Wash"," ","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3204406, 30.6183996)
"Aggieland Tutoring","1311 Wellborn Road,  College Statio, TX,  77840","48","041","001605","48041001605","1400000US48041001605","16.05","Census Tract 16.05","G5020","S",1049271,0,30.5976885,-96.3256864,"Census Tract 16.05; Brazos County; Texas",4175,341,37476,665,120,10945,1.0503286833854,3974.9461916466,c(-96.3309373, 30.5925947)
"Barnes & Noble","711 Texas Avenue South, College Station, TX,  ","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3309649, 30.6266397)
"Batteries Plus Bulbs","","48","041","001703","48041001703","1400000US48041001703","17.03","Census Tract 17.03","G5020","S",1223386,0,30.6147055,-96.310871,"Census Tract 17.03; Brazos County; Texas",4184,580,24778,718,237,5990,1.22461693189121,3416.57859779754,c(-96.3150322, 30.6130409)
"Half Price Books","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3156688, 30.640121)
"James Avery Jewelry","1406 Texas Avenue South, College Station, TX, 77840","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3235064, 30.6180273)
"Bed Bath & Beyond"," Texas Avenue South, College Station, TX, 77840","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3231495, 30.6172351)
"World Market","","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3225969, 30.6167931)
"Old Navy","","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3158432, 30.6109118)
"Game X Change","","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3189773, 30.6143577)
"Top Nails","","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3190446, 30.614488)
"Cricket Wireless","","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.319064, 30.6145536)
"Just For Hair","","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3191196, 30.6146627)
"Sleep Station","","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3185725, 30.6158706)
"Nothing Bundt Cakes","1713 Texas Avenue South, College Station, TX, 77840","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3183345, 30.6167691)
"FX Game Exchange","","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3182607, 30.6167067)
"Sally Beauty","","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3181762, 30.616649)
"OfficeMax","","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3180783, 30.6165833)
"Spec's","","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3179544, 30.6164979)
"Sportscuts","","48","041","001302","48041001302","1400000US48041001302","13.02","Census Tract 13.02","G5020","S",2375239,0,30.6322259,-96.3136454,"Census Tract 13.02; Brazos County; Texas",4677,738,56436,742,249,10660,2.37762022768923,1967.09295518801,c(-96.3228799, 30.6352869)
"Kirkland's","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3158901, 30.6399556)
"Cacique","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3161368, 30.6397836)
"Lane Bryant","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3162991, 30.6396705)
"Chico's","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3160966, 30.6382732)
"Talbots","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3160121, 30.6384024)
"Skechers","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3162562, 30.6382397)
"Sleep Number","","48","041","001607","48041001607","1400000US48041001607","16.07","Census Tract 16.07","G5020","S",557041,0,30.6138018,-96.3221148,"Census Tract 16.07; Brazos County; Texas",1689,129,33036,600,91,12171,0.557602934435817,3029.03714398299,c(-96.3202528, 30.6155072)
"Kolache Rolf’s","2307 Texas Avenue South, College Station, TX, 77840","48","041","001703","48041001703","1400000US48041001703","17.03","Census Tract 17.03","G5020","S",1223386,0,30.6147055,-96.310871,"Census Tract 17.03; Brazos County; Texas",4184,580,24778,718,237,5990,1.22461693189121,3416.57859779754,c(-96.3125565, 30.6109183)
"Changes Hair Salon","707 Texas Avenue South, College Station, TX, 77840","48","041","001303","48041001303","1400000US48041001303","13.03","Census Tract 13.03","G5020","S",2312657,0,30.6245417,-96.3221629,"Census Tract 13.03; Brazos County; Texas",6375,381,25345,954,135,7947,2.31497632620931,2753.8078587779,c(-96.3324055, 30.6267533)
"Trek Bicycle College Station","2307 Texas Avenue South, College Station, TX, 77840","48","041","001703","48041001703","1400000US48041001703","17.03","Census Tract 17.03","G5020","S",1223386,0,30.6147055,-96.310871,"Census Tract 17.03; Brazos County; Texas",4184,580,24778,718,237,5990,1.22461693189121,3416.57859779754,c(-96.3122952, 30.6106823)
"Lululemon"," , , , ","48","041","002100","48041002100","1400000US48041002100","21","Census Tract 21","G5020","S",4120393,0,30.6193213,-96.338152,"Census Tract 21; Brazos County; Texas",12337,315,24678,435,142,4406,4.12453234419099,2991.12698616013,c(-96.3397222, 30.6247788)
"Lytle's Comics & Games","1804 Brothers Boulevard, College Station, TX, 77845","48","041","001801","48041001801","1400000US48041001801","18.01","Census Tract 18.01","G5020","S",2923231,0,30.589813,-96.2979925,"Census Tract 18.01; Brazos County; Texas",5479,558,58148,724,162,10656,2.92618722777452,1872.40240405499,c(-96.29985, 30.5955055)
"PPG Paints","3800 State Highway 6 Frontage Road, College Station, TX, 77845","48","041","001801","48041001801","1400000US48041001801","18.01","Census Tract 18.01","G5020","S",2923231,0,30.589813,-96.2979925,"Census Tract 18.01; Brazos County; Texas",5479,558,58148,724,162,10656,2.92618722777452,1872.40240405499,c(-96.287291, 30.587226)
"Harbor Freight Tools","2408 Texas Avenue South, College Station, TX, 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3123349, 30.6076569)
"Resale & More","2406 Texas Avenue South, College Station, TX, 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3122677, 30.608049)
"Rent-A-Center","2404 Texas Avenue South, College Station, TX, 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3120162, 30.6082192)
"College Station Pawn","2232 Texas Avenue South, College Station, TX, 77840","48","041","001606","48041001606","1400000US48041001606","16.06","Census Tract 16.06","G5020","S",1169813,0,30.6058307,-96.316748,"Census Tract 16.06; Brazos County; Texas",2892,259,34564,471,130,2168,1.17099188195031,2469.70115214063,c(-96.3125085, 30.6095549)
"Frankie's Food Mart","2801 Texas Avenue, College Station, TX, 77845","48","041","001702","48041001702","1400000US48041001702","17.02","Census Tract 17.02","G5020","S",2890905,0,30.6062731,-96.2970026,"Census Tract 17.02; Brazos County; Texas",3098,300,47788,511,136,13400,2.89381847052665,1070.55782232124,c(-96.3002224, 30.6006592)
"Elevated CBD + Smoke","2046 Holleman Drive West, College Station, TX, 77840","48","041","002023","48041002023","1400000US48041002023","20.23","Census Tract 20.23","G5020","S",552593,0,30.5897361,-96.3425104,"Census Tract 20.23; Brazos County; Texas",2924,181,28014,776,125,4639,0.553150810270229,5286.08102114421,c(-96.3387425, 30.587707)
"Rio Nails","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3173196, 30.6393424)
"Learning Express Toys","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3172097, 30.6393724)
"Carter's","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3171024, 30.6393977)
"Ulta Beauty","1505 University Drive East, College Station, TX, 77840","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3169924, 30.6394439)
"Michaels","1505 East University Drive, College Station, TX, 77840-2672","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3167027, 30.6395039)
"Amazing Lashes","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3164211, 30.6395893)
"PetSmart","1505 University Drive East, College Station, TX, 77840","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3153911, 30.6403024)
"Spec's","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3152302, 30.6404062)
"Heartworks Gifts","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3160778, 30.6385623)
"Chrome - A Salon Experience","","48","041","001301","48041001301","1400000US48041001301","13.01","Census Tract 13.01","G5020","S",1644240,0,30.6382251,-96.3233783,"Census Tract 13.01; Brazos County; Texas",2735,135,34516,557,61,9950,1.64588575610752,1661.71922313017,c(-96.3160483, 30.6384931)
"Leslie's Pool Supplies","895 William D. Fitch Parkway, College Station, , 77845","48","041","002025","48041002025","1400000US48041002025","20.25","Census Tract 20.25","G5020","S",4314276,0,30.5596186,-96.2750991,"Census Tract 20.25; Brazos County; Texas",5450,1129,100884,736,296,16837,4.31866565943675,1261.9638633269,c(-96.2645298, 30.5553019)
