reference,aims_ancestry,aims_heterozygosity,tarsus.length,weight,tail.length,wing.cord,kipps,distal,carpal,p7,p8,p9,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,range_norm_tarsus.length,range_norm_weight,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_carpal,range_norm_p7,range_norm_p8,range_norm_p9,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
AH17K18,0.1364280652,0.1863926293,28.7,37.5,71,99,29.6,NA,NA,NA,NA,74,NA,1.306620209,228,NA,NA,0.6290322581,0.9310344828,0.5882352941,0.6470588235,0.5090909091,NA,NA,NA,NA,0.6666666667,NA,0,NA,NA,0.8499806565,0
AH18K02,0.4220824598,0.6205450734,28.5,34.3,69,100,32.7,NA,NA,NA,NA,77,NA,1.203508772,229,250,130.8885936,0.5967741935,0.7471264368,0.4705882353,0.7058823529,0.7909090909,NA,NA,NA,NA,0.8333333333,NA,0.04347826087,0.25,0.4247813711,0.6746257714,0
AH22K02,0.5090152566,0.7073509015,27.4,27.7,66,95,30.1,NA,NA,NA,NA,69,NA,1.010948905,233,260,174.4921726,0.4193548387,0.367816092,0.2941176471,0.4117647059,0.5545454545,NA,NA,NA,NA,0.3888888889,NA,0.2173913043,0.5,0.7317035141,0.3471517856,0
AH22K04,0.2891566265,0.4479092842,28,32,68,99,30.7,NA,NA,NA,NA,70,NA,1.142857143,233,NA,NA,0.5161290323,0.6149425287,0.4117647059,0.6470588235,0.6090909091,NA,NA,NA,NA,0.4444444444,NA,0.2173913043,NA,NA,0.5714795082,0
AH22K09,0.3830897704,0.1704940849,29.8,29.2,67,96,29.7,NA,NA,NA,NA,70,NA,0.9798657718,233,262,189.3982671,0.8064516129,0.4540229885,0.3529411765,0.4705882353,0.5181818182,NA,NA,NA,NA,0.4444444444,NA,0.2173913043,0.55,0.8366263343,0.2942907314,0
AH22K11,0.5535585909,0.2904385334,28.3,29.4,NA,96,31.1,NA,NA,NA,NA,72,NA,1.038869258,233,NA,NA,0.564516129,0.4655172414,NA,0.4705882353,0.6454545455,NA,NA,NA,NA,0.5555555556,NA,0.2173913043,NA,NA,0.3946341057,0
AH22K12,0.2728561304,0.4365698086,28.1,30.8,72,98,34.2,NA,NA,NA,NA,72,NA,1.096085409,233,248,95.9694439,0.5322580645,0.5459770115,0.6470588235,0.5882352941,0.9272727273,NA,NA,NA,NA,0.5555555556,NA,0.2173913043,0.2,0.1789882383,0.4919378763,1
AH22K13,0.3170212766,0.4666666667,26.8,28.7,70,99,30.6,NA,NA,NA,NA,75,NA,1.070895522,233,252,174.4921726,0.3225806452,0.4252873563,0.5294117647,0.6470588235,0.6,NA,NA,NA,NA,0.7222222222,NA,0.2173913043,0.3,0.7317035141,0.4490990814,0
AH22K14,0.8557353976,0.2547501759,27.1,30.2,71,98,29.7,NA,NA,NA,NA,76,NA,1.114391144,233,NA,NA,0.3709677419,0.5114942529,0.5882352941,0.5882352941,0.5181818182,NA,NA,NA,NA,0.7777777778,NA,0.2173913043,NA,NA,0.5230692434,0
AH22K15,0.384696756,0.4647390691,28.3,29.4,67,95,28.4,NA,NA,NA,NA,70,NA,1.038869258,233,NA,NA,0.564516129,0.4655172414,0.3529411765,0.4117647059,0.4,NA,NA,NA,NA,0.4444444444,NA,0.2173913043,NA,NA,0.3946341057,0
