reference,sex_binary,aims_ancestry,aims_heterozygosity,range_norm_tarsus.length,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
AH17K18,1,0.1364280652,0.1863926293,0.6290322581,0.5882352941,0.6470588235,0.5090909091,NA,NA,0,NA,NA,0.8499806565,0
AH18K02,1,0.4220824598,0.6205450734,0.5967741935,0.4705882353,0.7058823529,0.7909090909,NA,NA,0.04347826087,0.25,0.4247813711,0.6746257714,0
AH22K02,1,0.5090152566,0.7073509015,0.4193548387,0.2941176471,0.4117647059,0.5545454545,NA,NA,0.2173913043,0.5,0.7317035141,0.3471517856,0
AH22K04,1,0.2891566265,0.4479092842,0.5161290323,0.4117647059,0.6470588235,0.6090909091,NA,NA,0.2173913043,NA,NA,0.5714795082,0
AH22K09,1,0.3830897704,0.1704940849,0.8064516129,0.3529411765,0.4705882353,0.5181818182,NA,NA,0.2173913043,0.55,0.8366263343,0.2942907314,0
AH22K11,1,0.5535585909,0.2904385334,0.564516129,NA,0.4705882353,0.6454545455,NA,NA,0.2173913043,NA,NA,0.3946341057,0
AH22K13,1,0.3170212766,0.4666666667,0.3225806452,0.5294117647,0.6470588235,0.6,NA,NA,0.2173913043,0.3,0.7317035141,0.4490990814,0
AH22K14,1,0.8557353976,0.2547501759,0.3709677419,0.5882352941,0.5882352941,0.5181818182,NA,NA,0.2173913043,NA,NA,0.5230692434,0
AH22K15,0,0.384696756,0.4647390691,0.564516129,0.3529411765,0.4117647059,0.4,NA,NA,0.2173913043,NA,NA,0.3946341057,0
AH24H02,1,0.8339088398,0.307320442,0.435483871,0.4705882353,0,0.07272727273,NA,NA,0.3043478261,0,0.4747239672,0.3841888326,0
AH24H03,1,0.3484528833,0.3832630098,0.435483871,0.2941176471,0.4117647059,0.3818181818,NA,NA,0.3043478261,NA,NA,0.4336618413,0
AH24H04,1,0.2650389243,0.4083510262,0.6129032258,0.5294117647,0.4705882353,0.6454545455,NA,NA,0.3043478261,0.3,0.4747239672,0.2393375718,0
AH24H05,1,0.2975352113,0.4809859155,0.6935483871,0.3529411765,0.2941176471,0.6181818182,NA,NA,0.3043478261,0.15,0.4747239672,0.3577522249,0
AH25H01,1,0.1316901408,0.1788732394,0.6290322581,0.2941176471,0.4705882353,0.5545454545,NA,NA,0.347826087,NA,NA,0.3700105924,0
AH25H02,1,0.2403778866,0.2820153954,0.8225806452,0.4705882353,0.5294117647,0.6454545455,NA,NA,0.347826087,0.6,0.2426131678,0.3854091117,0
