reference,sex_binary,aims_ancestry,aims_heterozygosity,tarsus.length,tail.length,wing.cord,kipps,distal,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,t5_spring40
AH17K18,1,0.1364280652,0.1863926293,28.7,71,99,29.6,NA,NA,1.306620209,228,NA,NA,0
AH18K02,1,0.4220824598,0.6205450734,28.5,69,100,32.7,NA,NA,1.203508772,229,250,130.8885936,0
AH22K02,1,0.5090152566,0.7073509015,27.4,66,95,30.1,NA,NA,1.010948905,233,260,174.4921726,0
AH22K04,1,0.2891566265,0.4479092842,28,68,99,30.7,NA,NA,1.142857143,233,NA,NA,0
AH22K09,1,0.3830897704,0.1704940849,29.8,67,96,29.7,NA,NA,0.9798657718,233,262,189.3982671,0
AH22K11,1,0.5535585909,0.2904385334,28.3,NA,96,31.1,NA,NA,1.038869258,233,NA,NA,0
AH22K13,1,0.3170212766,0.4666666667,26.8,70,99,30.6,NA,NA,1.070895522,233,252,174.4921726,0
AH22K14,1,0.8557353976,0.2547501759,27.1,71,98,29.7,NA,NA,1.114391144,233,NA,NA,0
AH22K15,0,0.384696756,0.4647390691,28.3,67,95,28.4,NA,NA,1.038869258,233,NA,NA,0
AH24H02,1,0.8339088398,0.307320442,27.5,69,88,24.8,NA,NA,1.032727273,235,240,137.9838,0
AH24H03,1,0.3484528833,0.3832630098,27.5,66,95,28.2,NA,NA,1.061818182,235,NA,NA,0
AH24H04,1,0.2650389243,0.4083510262,28.6,70,96,31.1,NA,NA,0.9475524476,235,252,137.9838,0
AH24H05,1,0.2975352113,0.4809859155,29.1,67,93,30.8,NA,NA,1.017182131,235,246,137.9838,0
AH25H01,1,0.1316901408,0.1788732394,28.7,66,96,30.1,NA,NA,1.024390244,236,NA,NA,0
AH25H02,1,0.2403778866,0.2820153954,29.9,69,97,31.1,NA,NA,1.033444816,236,264,105.0084614,0
AH25H03,0,0.3854883081,0.378954608,26,65,89,26.7,NA,NA,1.034615385,236,NA,NA,0
AH26H01,1,0.2589285714,0.4300595238,25.8,67,95,33.1,NA,NA,1.124031008,237,NA,NA,0
AH26H02,1,0.2145922747,0.2775393419,26.5,68,99,31.2,NA,NA,1.098113208,237,262,137.9838,0
