"Store_name","Address","Latitude","Longitude"
"ATTITUDE DANCE BOUTIQUE","404 University Dr E, Suite G, College Station, Texas 77840",30.6285,-96.3205
"BEA'S ALTERATIONS","1100 Harvey Rd, Suite C, College Station, Texas 77840",30.617,-96.302
"BRAZOS BRIM HAT BAR","850 William D Fitch Pkwy, Ste 800College Station, Texas 77845",30.6015,-96.3147
"GRASS STAINS","155 Century Ct. Suite 110, College Station, Texas 77840",30.6215,-96.339
"HULLABALOO AVE","312 George Bush Dr, College Station, Texas 77840",30.6123,-96.3412
"MAROON U","112 Holleman Drive, College Station, Texas 77840",30.6072,-96.3108
"Catherine's Plus Sizes","1505 University Dr E, College Station, TX 77840",30.628,-96.32
"MSC Bookstore @ TAMU","275 Joe Routt Blvd, College Station, TX 77843",30.6125,-96.3415
"SAM'S CLUB","1405 Earl Rudder Fwy, College Station, TX 77845",30.6502,-96.3028
"The Warehouse @ C.C. Creations","114 Holleman Dr, College Station, TX 77840",30.6075,-96.3105
"Best Buy","805 Texas Avenue South, College Station, TX, 77840",30.6259399,-96.3297423
"MSC Forsyth Galleries","",30.6120721,-96.3414637
"J Wayne Stark University Center Galleries","",30.612736,-96.340921
"Rattler's","",30.5875335,-96.3387375
"Shop N Go","",30.6201522,-96.3204982
"Grateful Dog Self-Serve Dog Wash"," ",30.6183996,-96.3204406
"Aggieland Tutoring","1311 Wellborn Road,  College Statio, TX,  77840",30.5925947,-96.3309373
"Barnes & Noble","711 Texas Avenue South, College Station, TX,  ",30.6266397,-96.3309649
"Batteries Plus Bulbs","",30.6130409,-96.3150322
"Half Price Books","",30.640121,-96.3156688
"James Avery Jewelry","1406 Texas Avenue South, College Station, TX, 77840",30.6180273,-96.3235064
"Bed Bath & Beyond"," Texas Avenue South, College Station, TX, 77840",30.6172351,-96.3231495
"World Market","",30.6167931,-96.3225969
"Old Navy","",30.6109118,-96.3158432
"Game X Change","",30.6143577,-96.3189773
"Top Nails","",30.614488,-96.3190446
"Cricket Wireless","",30.6145536,-96.319064
"Just For Hair","",30.6146627,-96.3191196
"Sleep Station","",30.6158706,-96.3185725
"Nothing Bundt Cakes","1713 Texas Avenue South, College Station, TX, 77840",30.6167691,-96.3183345
"FX Game Exchange","",30.6167067,-96.3182607
"Sally Beauty","",30.616649,-96.3181762
"OfficeMax","",30.6165833,-96.3180783
"Spec's","",30.6164979,-96.3179544
"Sportscuts","",30.6352869,-96.3228799
"Kirkland's","",30.6399556,-96.3158901
"Cacique","",30.6397836,-96.3161368
"Lane Bryant","",30.6396705,-96.3162991
"Chico's","",30.6382732,-96.3160966
"Talbots","",30.6384024,-96.3160121
"Skechers","",30.6382397,-96.3162562
"Sleep Number","",30.6155072,-96.3202528
"Kolache Rolf’s","2307 Texas Avenue South, College Station, TX, 77840",30.6109183,-96.3125565
"Changes Hair Salon","707 Texas Avenue South, College Station, TX, 77840",30.6267533,-96.3324055
"Trek Bicycle College Station","2307 Texas Avenue South, College Station, TX, 77840",30.6106823,-96.3122952
"Lululemon"," , , , ",30.6247788,-96.3397222
"Lytle's Comics & Games","1804 Brothers Boulevard, College Station, TX, 77845",30.5955055,-96.29985
"PPG Paints","3800 State Highway 6 Frontage Road, College Station, TX, 77845",30.587226,-96.287291
"Harbor Freight Tools","2408 Texas Avenue South, College Station, TX, 77840",30.6076569,-96.3123349
"Resale & More","2406 Texas Avenue South, College Station, TX, 77840",30.608049,-96.3122677
"Rent-A-Center","2404 Texas Avenue South, College Station, TX, 77840",30.6082192,-96.3120162
"College Station Pawn","2232 Texas Avenue South, College Station, TX, 77840",30.6095549,-96.3125085
"Frankie's Food Mart","2801 Texas Avenue, College Station, TX, 77845",30.6006592,-96.3002224
"Elevated CBD + Smoke","2046 Holleman Drive West, College Station, TX, 77840",30.587707,-96.3387425
"Rio Nails","",30.6393424,-96.3173196
"Learning Express Toys","",30.6393724,-96.3172097
"Carter's","",30.6393977,-96.3171024
"Ulta Beauty","1505 University Drive East, College Station, TX, 77840",30.6394439,-96.3169924
"Michaels","1505 East University Drive, College Station, TX, 77840-2672",30.6395039,-96.3167027
"Amazing Lashes","",30.6395893,-96.3164211
"PetSmart","1505 University Drive East, College Station, TX, 77840",30.6403024,-96.3153911
"Spec's","",30.6404062,-96.3152302
"Heartworks Gifts","",30.6385623,-96.3160778
"Chrome - A Salon Experience","",30.6384931,-96.3160483
"Leslie's Pool Supplies","895 William D. Fitch Parkway, College Station, , 77845",30.5553019,-96.2645298
"SitePro Rentals","",30.556138,-96.2557719
"Aaron Automotive","4160 South Highway 6, College Station, TX, 77845",30.5706451,-96.2731148
